belongs_to_collection,budget,genres,id,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,cast,name_director,release_year,return
,0,Foreign,46373,hi,"Fellow Police Inspectors Arjun and Pyare work in the same Police Station in Mumbai, India. Although they work together, they have an unhealthy rivalry between them - leading to considerable acrimony and inefficiency. Then things get worse when a series of crimes and robberies take place - with witnesses coming forward and identifying them as the culprits...",0.38647,,,1998-10-06,0.0,142.0,हिन्दी,Released,,Bade Miyan Chote Miyan,5.0,7.0,"Amitabh Bachchan, Govinda, Raveena Tandon",David Dhawan,1998,0.0
,0,Foreign,103048,en,"After witnessing the brutal slaying of her Forest Officer father, Sunder Rajan, at the hands of dreaded dacoit Jageera, Sandhya goes to Colonel Krishnakant Puri and asks for his assistance in bringing an end to Jageera's rule in the Devdurg region. Krishnakant agrees to assist her, and summons about a dozen of his fellow officers and subordinates to assist him. They all assemble at Devdurg with all the necessary ammunitions and arms to combat Jageera, not realizing that Jageera has influence over the local police detachment, who will prevent Puri and his men to possess any guns and weapons. This does not deter Puri and his men, and they continue to stay on in Devdurg and gain the confidence of the villagers. What the villagers do not know that Krishnakant and his men had all been dishonorably discharged from the army for cowardice and retreating when attacked by the enemy. Will Puri and his men abandon Devdurg and let history repeat itself?",1.010084,,India,1998-11-27,0.0,179.0,हिन्दी,Released,,China Gate,5.4,4.0,"Om Puri, Naseeruddin Shah, Danny Denzongpa",Rajkumar Santoshi,1998,0.0
,0,"Comedy, Drama, Foreign, Romance",45533,en,"Beautiful, talented, young and attractive Muskaan has an only guardian in her life, her strict and stern brother Vishal Thakur, both reside on a farm in the Country area. Vishal enrolls Muskaan into the City College, where she meets a prankster Suraj Khanna, who has been neglected by his wealthy parents. Suraj and Muskaan fall in love slowly and when it was time for Muskaan to return to the Country area, Suraj follows Muskaan all the way to her house where he meets with Vishal who objects to their marriage but when Suraj save the life of an elder Thakur Ajay Singh he is taken in and must undergo certain tests before Vishal will accept him as his brother in law.",0.375371,,,1998-03-27,0.0,162.0,हिन्दी,Released,Why be afraid of Love?,Pyaar Kiya To Darna Kya,6.3,10.0,"Kajol, Salman Khan, Arbaaz Khan",Sohail Khan,1998,0.0
,0,"Action, Thriller",54959,hi,The story follows a young man (Bobby Deol) who flees India and arrives in Australia seeking vengence for something that started in India. In Australia he meets and falls in love with the daughter of a rich and powerful man(Suresh Oberoi). The story keeps the covers on Bobby Deols plan until the end when everything is revealed as to why he is a SOLDIER.,0.17381,,India,1998-12-10,0.0,156.0,हिन्दी,Released,He who kills for his country is called...Soldier,Soldier,5.9,5.0,"Bobby Deol, Preity Zinta, Rakhee Gulzar",Mastan Alibhai Burmawalla,1998,0.0
Sharpe Collection,0,"Action, Adventure, War, History",74405,en,"Spain 1812 The Duke of Wellington plans to lay siege to Badajoz. A murderous figure from Sharpe's past uses a beautiful woman revenge himself on Sharpe, now the father of her child. Sharpe has reason to be happy, he holds his daughter for the first time and is given command of the Light Company again, together with his captaincy. But will his happiness be short lived?",1.624921,"Picture Palace, Celtic Films Entertainment",United Kingdom,1994-01-01,0.0,100.0,"English, Français, Magyar, Português",Released,,Sharpe's Company,7.0,13.0,"Sean Bean, Daragh O'Malley, Hugh Fraser",Tom Clegg,1994,0.0
Sharpe Collection,0,"History, Action, Adventure, War",75133,en,"Portugal 1813. A band of deserters, including Sharpe's old enemy, Obadiah Hakeswill, have captured two women, one the wife of a high-ranking English officer, and are holding them hostage for ransom. Sharpe is given the 60th Rifles and a Rocket troop, as well as his majority to rescue the women. But while Sharpe may be able to deal with his old enemy, he has yet to face a newer threat, the French Major Duclos.",1.846418,"Central Independent Television, Picture Palace, Celtic Films Entertainment",United Kingdom,1994-06-01,0.0,90.0,"English, Magyar",Released,,Sharpe's Enemy,6.8,13.0,"Sean Bean, Daragh O'Malley, Hugh Fraser",Tom Clegg,1994,0.0
,1000000,"Thriller, Drama",367006,en,,0.016713,"Sandrews, Finnish Film Foundation, Orsans Productions","Sweden, Finland, France",1996-04-07,0.0,,English,Released,,Seasick,0.0,0.0,"Katrin Cartlidge, John Castle, Bob Peck",Veikko Aaltonen,1996,0.0
,0,"Drama, Foreign, Romance",20929,hi,"On a sight-seeing road trip of India, U.K. based Manav Mehta meets Mansi, the daughter of a singer, Tarababu. He is attracted to her, and makes his attraction known. She also is attracted to him eventually. Her dad approves of Manav, and both go to Bombay to meet his family. On their arrival itself, they are shunned and treated as second class citizens, and this lasts throughout the day.",1.375513,,India,1999-08-13,0.0,170.0,हिन्दी,Released,,Taal,5.7,15.0,"Anil Kapoor, Akshaye Khanna, Aishwarya Rai Bachchan",Subhash Ghai,1999,0.0
,0,"Romance, Family, Foreign",62883,hi,"The trials and challenges of a joint family in India, whose parents are Ramkishen and second wife Mamta, and have three sons and a married daughter. The eldest son is handicapped since birth, and is from Ramkishen's first wife. Mamta, the second wife, hates him, and like Kaikeyi in Ramayana wants the estate and wealth in her sons' names. She and her daughter's father-in-law, scheme together, and have the eldest son, including his wife and child, thrown out of the house. Mamta and her sons are all set to control the finances and the estate - until she finds out that her very own sons do not approve of nor support her actions in throwing their step-brother out of the house.",0.702863,,India,1999-11-05,0.0,177.0,हिन्दी,Released,We Stand United,Hum Saath Saath Hain,5.8,18.0,"Salman Khan, Sonali Bendre, Karisma Kapoor",Sooraj R. Barjatya,1999,0.0
,0,,161227,en,"Talented singer and dancer, Chandni's life is dominated by three aunts, and a soft-spoken maternal grandmother. She meets with a womanizer named Rahul, and falls in love with him. Rahul treats her just like any of his other girlfriends, and decides to have an affair with her. Rahul unexpectedly meets with his dadaji, who wants him to get married to Chandni. In order to fool him, Rahul asks Chandni to pretend to be his wife, which she does. After Dadaji leaves, will Rahul and Chandni go their separate ways, and will Rahul return to the waiting arms of his many girlfriends?",0.425306,,,1999-04-01,0.0,153.0,,Released,,Jaanam Samjha Karo,7.0,3.0,"Salman Khan, Urmila Matondkar, Jaspal Bhatti",Andaleeb Sultanpuri,1999,0.0
,0,,165066,en,"Anand Kishore, his wife, Kavita  and only child, a daughter, Neha , live a happy and serene life in Delhi, India. Their lives are turned upside down when Kavita finds out that Neha is being stalked by a woman named Nandita Rai",0.036471,,,1999-01-01,0.0,158.0,,Released,,Dil Kya Kare,5.0,1.0,,,1999,0.0
,0,"Thriller, Mystery",142412,hi,"While alone in the house, a woman hears news of serial killer on the loose. And then a stranger rings the doorbell...",0.701988,Kshitij Production Combines,India,1999-02-26,0.0,100.0,हिन्दी,Released,,Kaun?,5.0,4.0,"Urmila Matondkar, Manoj Bajpayee, Sushant Singh",Ram Gopal Varma,1999,0.0
,0,"Romance, Drama",305337,hi,"Romance meets crime drama, when Nisha and Sunil are wed, but face the consequences of Sunil's brother's questionable business associates.",0.036541,"PolyGram Filmed Entertainment, TriStar Productions",India,1999-07-23,0.0,165.0,हिन्दी,Released,,Pyaar Koi Khel Nahin,2.0,1.0,"Sunny Deol, Apurva Agnihotri, Mahima Chaudhry",,1999,0.0
,0,,227832,en,"Surjit finds out that his sister is in love with Manjit Singh . Surjit goes to Thakurs house in order to get Manjit to marry his sister. The Thakur humiliates him; making him, a vegetarian, eat dog food and beg on his knees. Surjit does so and is told to go home and make wedding preparations. The next day, Thakur visits Surjit and kills him and his wife in broad daylight. Surjits last dying wish is that his two sons Raju and Kishan must get married to Thakur's and his brother's two daughters Megha and Preeti and they must have the Thakur come begging to their doorstep for this marriage alliance. Surjits sister agrees to this and accordingly brings up the two children. Unfortunately Raju goes missing leaving her alone to bring up Kishan. Years later they are reunited when Raju returns home and they join together to fulfill Surjits last wish.",0.201944,,,1999-05-07,0.0,0.0,,Released,,Hogi Pyar Ki Jeet,7.5,2.0,"Ajay Devgn, Neha, Arshad Warsi",P. Vasu,1999,0.0
,0,"Comedy, Drama, Romance",161226,hi,"Prem and Pooja lead an ever so normal rich life. Pooja who is busy, with her 2 adorable kids and Prem's mom, neglects her man. A gorgeous model, Roopali , enters Prem's life to revive him of his ever so bouncing hormones. Prem leads a double life being a doting father and ever-loving husband on one hand and prancing around the streets with Roopali on the other. Add to all this Lakhan and his wife are good friends of Prem and his wife. Prem wants to have the cake and eat it too. Pooja soon discovers Prem's love and gives an ultimatum. Will Prem go for Pooja? Or will he settle with Roopali?",1.133102,,,1999-05-27,0.0,159.0,"English, हिन्दी",Released,,Biwi No. 1,5.6,7.0,"Salman Khan, Anil Kapoor, Karisma Kapoor",David Dhawan,1999,0.0
,0,"Comedy, Foreign, Romance",39347,hi,"Hero (Salman Khan) loves Rani (Rani Mukerji), but she doesn't. Hero, meanwhile, is a loyal worker at A-Z, a courier company helm ed by baddie Khanna (Shakti Kapoor). The man actually distributes drugs around the city, the Tough cop Inspector Vishal (Arbaaz Khan) arrives in the city and starts trailing Hero whom he suspects to be involved in the racket. But the poor unsuspecting Hero is innocent. So when he stumbles upon the truth, Khanna has him bumped off. At the same time, he manages to shoot Vishal in the heart. A heart transplant takes place and Hero's heart is given to Vishal. Hero's spirit comes back to avenge his death, but only Vishal can see him. Since Hero's heart beats for Rani, it is only natural for Vishal to fall in love with Rani. And fortunately, she too falls in love with him.",0.179068,"G.S. Entertainment, Video Sound",India,1999-09-09,0.0,139.0,"हिन्दी, English",Released,,Hello Brother,6.0,5.0,"Salman Khan, Rani Mukerji, Arbaaz Khan",Sohail Khan,1999,0.0
,0,,319920,hi,"On May 1st 1993 a bomb explodes in Gangaram Park in Bombay, killing more than 150 people, many of whom are children. ACP Jay Suryavanshi is assigned this case, quick arrests are made of four individuals. Jagat Jogia, a terrorist, claims responsibility for these killings, but the police are unable to arrest him as he is now located in London, England. Jay discusses this matter with his senior, and together they recruit dreaded killer, Jeet Balraj, rename him Raja, save him from death-row, promise him freedom in exchange for killing Jagat Jogia, to which Jeet agrees. Jeet is provided with money, passport and living quarters in London, and he re-locates. Upon arrival, he meets with Manpreet Kaur, and both of them fall in love. With someone to motivate him in life, Jeet decides to give up his past life - only to find out that not only Jay has other plans for him, but Jagat is also on the look-out for him - and both their agendas are the same - his death!",0.160076,,,1999-05-07,0.0,126.0,हिन्दी,Released,Terror has many faces...,Kartoos,4.7,3.0,"Sanjay Dutt, Jackie Shroff, Manisha Koirala",Mahesh Bhatt,1999,0.0
,0,"Drama, Fantasy, Romance",117345,hi,"Mast is a 1999 Bollywood musical film by Indian director Ram Gopal Verma. This was the debut film for Aftab Shivdasani as a lead actor. Till then, he was recognized as a child actor.  Kittu (Aftab Shivdasani) is an arts student in Pune and is madly in love with actress and film star Malika (Urmila Matondkar). He has posters up on his wall and goes to all of her movies, and even fantasizes that she is there with him when he is watching these items. His father concerned with his son's declining exam scores, confronts Kittu on his obsession and tears down the posters. To Kittu, this is almost as bad as murder and decides to move out and away to Mumbai, where the star, herself, lives.",0.49691,,,1999-10-15,0.0,150.0,हिन्दी,Released,,Mast,4.3,3.0,"Aftab Shivdasani, Urmila Matondkar, Dalip Tahil",Ram Gopal Varma,1999,0.0
,0,"Action, Drama, Romance",211275,en,"Aftab has been brought up his mother, Mariam, and has no knowledge as to the identity and whereabouts of his biological father. When Mariam gets news that Ramakant Pandit is dying, she asks...",0.318881,,,1999-07-31,0.0,0.0,,Released,,Kachche Dhaage,6.3,2.0,"Ajay Devgn, Saif Ali Khan, Manisha Koirala",Milan Luthria,1999,0.0
Sharpe Collection,0,"History, Action, Adventure",75134,en,"1813. Major Sharpe's old enemy, Major Ducos manipulates a beautiful young marquesa into falsely accusing Sharpe of rape. Her husband calls Sharpe out in a duel. But when the husband is found dead the next morning, Sharpe is arrested and brought before a court martial, and it seems not even Patrick Harper and the Chosen Men can save Sharpe from a hanging, or rescue his honour",1.317935,"Central Independent Television, Picture Palace, Celtic Films Entertainment",United Kingdom,1994-06-08,0.0,101.0,"English, Magyar",Released,,Sharpe's Honour,6.3,13.0,"Sean Bean, Daragh O'Malley, Alice Krige",Tom Clegg,1994,0.0
,0,,88126,fi,"This action packed Finnish thriller tells the tale of two friends who get their revenge against the millionaire who double-crossed them. Patrick and Tony are hired by the wealthy gambler to steal the priceless Romanov stones, Russian jewels. They do it, but almost lose their lives when he double-crosses them. They turn around and get revenge, his money, his wife, and his daughter.",0.212205,Spede-Tuotanto Oy,Finland,1993-11-26,0.0,90.0,suomi,Released,,Romanovin kivet,5.2,6.0,"Samuli Edelmann, Santeri Kinnunen, Stig Fransman",Aleksi Mäkelä,1993,0.0
,0,Horror,27766,en,"A young man finds his divorced mother having sex with a man in a Santa Clause hat and shoots them both dead. Years later, now thinking he is Santa Clause, the man develops an obsession with an erotic horror film star named Raven and begins stalking her.",0.036799,,United States of America,1996-10-22,0.0,83.0,English,Released,,Santa Claws,1.0,1.0,"Debbie Rochon, Grant Kramer, John Mowod",John A. Russo,1996,0.0
,0,"Comedy, Action",55325,en,"Lance, a teenager, dreams to be a secret agent when he is suddenly in the middle of an hacker intrigue which aims at an international environmental congress. Lance gets in possession of a computer access card one of which the hackers are in urgent need of for their operation. Lance begins to play with the hackers, seeing his dream come true.",0.888674,,,1992-09-07,0.0,95.0,English,Released,The youngest secret agent of all time!,The Double O Kid,3.8,8.0,"Corey Haim, Brigitte Nielsen, Wallace Shawn",Dee McLachlan,1992,0.0
,0,Thriller,116789,en,"When Meg gets thrown out of her apartment window by a serial killer, she's determined to make him pay. But finding this criminal might be difficult considering she's suffering from amnesia. Still, it won't take Meg long to cross paths with this sociopath — because he now lives in her building. This thriller has a finale you'll never ever ever see coming!",0.01165,,,1995-02-21,0.0,89.0,English,Released,,Falling For You,0.0,0.0,"Jennie Garth, Billy Dee Williams, Costas Mandylor",Eric Till,1995,0.0
,0,,127471,es,"A couple of friends work for a taxi driver to rob his passengers, but they feel like they're getting ripped off. They decide to plan their own robberies, but they are amateurs and things don't go too well. One of the youths, Cordoba, whose girlfriend Sandra is pregnant, just wants to get enough cash so they can leave Argentina and get to Uruguay to start a new life. He and his friends plan one last robbery, but things don't go as planned.",0.186823,,Argentina,1998-01-15,0.0,92.0,Español,Released,,"Pizza, Beer, and Cigarettes",5.4,5.0,"Héctor Anglada, Jorge Sesán, Pamela Jordán",Adrián Caetano,1998,0.0
Sharpe Collection,0,,75140,en,"Told his battalion is to be split up due to lack of recruits at home, Sharpe and Harper return to England to investigate. What should have been a simple query turns politically explosive as they come nearer to exposing profiteering on the home front that could jeopardize the Wellington's war.",1.804632,"Picture Palace, Celtic Films Entertainment, Carlton UK Productions",United Kingdom,1996-05-01,0.0,100.0,"English, Magyar, Pусский",Released,,Sharpe's Regiment,6.8,11.0,"Sean Bean, Daragh O'Malley, Abigail Cruttenden",Tom Clegg,1996,0.0
,0,,64948,it,,0.00222,,,1991-01-01,0.0,0.0,,Released,,Bix,6.0,2.0,"Bryant Weeks, Emile Levisetti, Julia Ewing",Pupi Avati,1991,0.0
,0,Drama,60191,it,Magnificat is a 1993 Italian drama film directed by Pupi Avati. It was entered into the 1993 Cannes Film Festival.,1e-06,"Penta Films, Duea Film, Istituto Luce-Italnoleggio Cinematografico, Union P.N.",Italy,1993-04-09,0.0,110.0,Italiano,Released,,Magnificat,5.0,1.0,"Luigi Diberti, Arnaldo Ninchi, Massimo Bellinzoni",Pupi Avati,1993,0.0
,0,"Foreign, Horror",59857,it,"Shunned by his church, a seminary student (Stefano Dionisi) takes refuge with an excommunicated priest (Carlo Cecchi) who teaches him wizardry and black magic.",0.219228,"Filmauro, Duea Film",Italy,1996-01-01,0.0,0.0,,Released,,Arcane Sorcerer,6.3,6.0,"Carlo Cecchi, Stefano Dionisi, Arnaldo Ninchi",Pupi Avati,1996,0.0
,0,,61208,it,"On his death bed in the 1820s, King Ferdinando I of Naples tries to escape the ghosts of his bloody kingship by remembering his younger days, when he was allowed to go hunting and have fun, and inventing love games. Then he was obliged to marry Mary Caroline of Austria, daughter of Empress Mary Theresa, in a political marriage: unexpectedly, they became happy lovers, until court power games divided them, and a different historical season arrived.",0.010305,,,1999-01-01,0.0,102.0,,Released,,Ferdinando and Carolina,0.0,0.0,"Sergio Assisi, Gabriella Pession, Nicole Grimaudo",Lina Wertmüller,1999,0.0
Sharpe Collection,0,,75142,en,"Sharpe, with his new commanding officer, is sent to capture a castle when news comes of locals who will rise against Bonaparte. However, he is somewhat distracted by thoughts of his wife whom he was forced to leave while stricken with fever.",1.525021,"Picture Palace, Celtic Films Entertainment, Carlton UK Productions",United Kingdom,1996-05-08,0.0,101.0,"English, Magyar, Pусский",Released,,Sharpe's Siege,7.5,10.0,"Sean Bean, Daragh O'Malley, Abigail Cruttenden",Tom Clegg,1996,0.0
,0,Drama,122368,da,"Nine-year old Andreas struggles to cope with the death of his beloved older brother, Mikkel, who is killed in a motorbike accident. Andreas' family moves shortly afterward to begin life anew, yet neither a new school nor the friends he makes can ease his enormous pain.",0.149035,,Denmark,1995-02-05,0.0,36.0,Dansk,Released,,The Boy Who Walked Backwards,6.8,4.0,"Holger Thaarup, Rune Veber, Michelle Bjørn-Andersen",Thomas Vinterberg,1995,0.0
,0,,250029,en,"Four nameless people -- the old man, the woman, the soldier, and the gambler -- journey to a desolate wasteland beyond the limits of an unnamed city.",0.226086,,,1992-04-01,0.0,112.0,,Released,,Absence,5.0,1.0,"Jenny Alpha, Eustaquio Barjau, Evgen Bavcar",Peter Handke,1992,0.0
,0,,183964,it,,0.002368,,,1995-04-07,0.0,0.0,,Released,,Facciamo paradiso,0.0,0.0,"Margherita Buy, Lello Arena, Dario Cassini",Mario Monicelli,1995,0.0
,0,,24195,it,The Razzi family owns a small factory of sweets in Macerata. Their desire to enlarge their business to cope with the new Unified European Market brings to a string of fatal mistakes that will ultimately doom their wealth.,0.451399,,Italy,1999-01-25,0.0,110.0,Italiano,Released,,Dirty Linen,0.0,0.0,"Gigi Proietti, Paolo Bonacelli, Marina Confalone",Mario Monicelli,1999,0.0
,0,Drama,232739,pt,"A Lebanese photographer living in Brazil in the '30s manages to take pictures of Lampião, a legendary Brazilian outlaw, kind of a tropical Robin Hood.",0.020369,,Brazil,1997-08-01,0.0,93.0,Português,Released,,Perfumed Ball,8.0,2.0,"Duda Mamberti, Luiz Carlos Vasconcelos, Aramis Trindade",Lírio Ferreira,1997,0.0
,0,"Fantasy, Horror, Mystery, Thriller",84368,ml,"A young couple, Ganga (Shobana) and Nakulan (Suresh Gopi), arrives at the ancestral home tharavadu called Madampalli of the latter. Hailing from a family that follows tradition and superstitions, Nakulan's uncle Thampi (Nedumudi Venu) objects to the couple's idea of moving into the allegedly haunted mansion, which Nakulan ignores. The couple moves in anyway following which seemingly supernatural events begin to happen.",0.927886,Swargachitra,India,1993-12-25,0.0,169.0,"தமிழ், ",Released,The Ornate Lock,Manichitrathazhu,7.4,9.0,"Shobana Chandrakumar, Mohanlal, Suresh Gopi",Fazil,1993,0.0
Devasuram Collection,0,"Action, Drama",237672,ml,"Neelakantan, heir to his father's fortunes, is an apparent menace to society. He once belittles a dancer but later they fall in love. Shekharan, an arch enemy, kidnaps his lover due to an old enmity.",1.140929,Anugraha Cine Arts,India,1993-04-14,0.0,160.0,,Released,,Devasuram,6.4,8.0,"Mohanlal, Revathi, Napoleon",I. V. Sasi,1993,0.0
Sharpe Collection,0,"Action, Adventure, History",75143,en,"Sharpe is teamed with a Colonel he helped promote and they are tasked to destroy a powder magazine, but an alliance with the French may threaten their success. Meanwhile, Jane is wearying of the army life and Harper and Ramona are at odds.",0.978978,"Picture Palace, Celtic Films Entertainment",United Kingdom,1996-05-15,0.0,100.0,"English, Magyar, Pусский",Released,,Sharpe's Mission,7.2,10.0,"Sean Bean, Daragh O'Malley, Abigail Cruttenden",Tom Clegg,1996,0.0
,0,Comedy,76793,fr,A tolerant veterinarian turns the other cheek when annoyed but changes his nature when he falls in love.,0.005489,,France,1992-02-12,0.0,0.0,Français,Released,,Le bal des casse-pieds,6.7,5.0,"Jean Rochefort, Miou-Miou, Jean Carmet",Yves Robert,1992,0.0
,0,Comedy,50213,en,"Michel Berthier, cadre supérieur d'une entreprise de matelasserie, vient d'être licencié. Comme il n'ose pas avouer la vérité à Juliette, sa compagne, il s'endette pour maintenir le niveau de la famille qu'il couvre de cadeaux. Mais il ne peut bientôt plus mentir et il décide alors de quitter la maison. Après avoir perdu son argent, sa voiture et ses chaussures, il rencontre Toubib, Mimosa et Crayon, trois «Sans Domicile Fixe» qui font leur toilette dans les lavabos de la gare de l'Est. Ils le prennent sous leur aile et l'entraînent à aller cambrioler son ancienne entreprise afin de se munir de duvets et de lits",1.047295,,France,1991-06-19,0.0,0.0,Français,Released,,Une Époque Formidable...,6.8,13.0,"Gérard Jugnot, Victoria Abril, Ticky Holgado",Gérard Jugnot,1991,0.0
,0,,118758,es,"In the near future, the areas between major cities are lawless wastelands. Atolladero is a town run with an iron fist by a corrupt tyrant named The Judge and his murderous enforcer, Madden. One decent cop decides to leave town, but the powers that be don't want that and go after him.",0.072521,,,1997-01-01,0.0,95.0,Español,Released,,Atolladero,7.0,1.0,"Iggy Pop, Joaquín Hinojosa, Félix Rotaeta",Óscar Aibar,1997,0.0
,0,Adventure,64046,ru,"The 3rd part of the famous trilogy by Alexandre Dumas about d'Artagnan and his 3 friends Athos, Porthos and Aramis.",0.036093,,Russia,1993-06-06,0.0,150.0,Pусский,Released,,The Secret of Queen Anna or Musketeers 30 Years Later,1.0,1.0,"Mikhail Boyarskiy, Venyamin Smekhov, Igor Starygin",Georgi Yungvald-Khilkevich,1993,0.0
,0,Adventure,64044,ru,"The new adventures of four musketeer friends... Based on Alexandre Dumas père novel ""20 Years Later"".",0.716771,,Russia,1992-06-06,0.0,300.0,Pусский,Released,,Musketeers 20 Years Later,5.0,2.0,"Mikhail Boyarskiy, Venyamin Smekhov, Igor Starygin",Georgi Yungvald-Khilkevich,1992,0.0
,0,,44617,en,"An actor owes big bucks to the Vegas mob. He's all set to pay them off; he's conned a rich widow into marrying him. But the mobsters blow his cover because they need him for a different scam. The lost heiress to a Vegas casino fortune has been found; she's a truckstop waitress in France. The mobsters' proposition: romance the broad, and get hitched. Or else. Then the crooks can bump her off and keep the casino for themselves...",0.550036,,,1997-04-19,0.0,100.0,,Released,,Arlette,5.0,6.0,"Josiane Balasko, Christopher Lambert, Ennio Fantastichini",Claude Zidi,1997,0.0
,0,"Crime, Drama, Romance",37015,en,"After an unfortunate incident causes him to leave the ""family business"" and move to Los Angeles, Vinny Pallazzo is living a quiet life. When his nephew, Anthony, moves in with him, Vinny slowly learns to live life to the fullest again. However, Anthony is young, and is living life in the fast lane. He brings out the demons from Vinny's past. Now Vinny must try to stop Anthony from making the same mistakes that changed his life forever.",0.031968,,United States of America,1994-01-01,0.0,97.0,"Italiano, English",Released,There can be no peace without honor and family.,Lookin' Italian,0.0,0.0,"Matt LeBlanc, Jay Acovone, Stephanie Richards",Guy Magar,1994,0.0
Naval Cadets Collection,0,"Adventure, History",63537,en,In the second movie the Naval Cadets are guarding the princess coming from Germany to marry a Russian prince.,0.156648,"Mosfilm, Zhanr",Russia,1991-06-06,0.0,140.0,Pусский,Released,,"Vivat, Naval Cadets!",5.7,3.0,"Dmitriy Kharatyan, Sergey Zhigunov, Mikhail Mamayev",Svetlana Druzhinina,1991,0.0
Naval Cadets Collection,0,"Adventure, History",63538,en,In the third movie the Naval Cadets are still servicing the homeland - this time during a Seven Years War.,0.035138,"Mosfilm, Zhanr",Russia,1992-06-06,0.0,107.0,Pусский,Released,,Naval Cadets III,2.0,1.0,"Dmitriy Kharatyan, Mikhail Mamayev, Aleksandr Domogarov",Svetlana Druzhinina,1992,0.0
Hornblower Collection,0,"Action, Drama, Adventure, War",19493,en,"The Hornblower series is based on C.S. Forester's classic maritime adventures - the story of one young man's struggle to become a leader of men. Set against the back drop of the 18th century Anglo-French wars, the bloodiest time in British naval history. Spithead, Portsmouth, 1794. Under thundery skies and in lashing rain, a 17 year old midshipman takes the first tentative steps of his naval career, but a deadly feud with a despicable mate is causing complications.",2.023147,Meridian Broadcasting Ltd,United Kingdom,1998-10-07,0.0,100.0,English,Released,,Hornblower: The Even Chance,6.8,16.0,"Ioan Gruffudd, Robert Lindsay, Dorian Healy",Andrew Grieve,1998,0.0
,0,"TV Movie, Drama, Comedy",119694,en,Two aging comedians who acrimoniously dissolved their act eight years earlier must overcome their differences when they have the chance for a lucrative movie comeback.,0.474328,Hallmark Entertainment,United States of America,1996-02-15,0.0,90.0,English,Released,,The Sunshine Boys,4.5,4.0,"Woody Allen, Peter Falk, Michael McKean",John Erman,1996,0.0
,0,Drama,82857,en,"A film director Nikolai Khudokormov is on the brink of his 50th anniversary. He has the whole life rich in events under his belt: creative quests, several marriages and children. Now he has to live with an old insane Mother and seems to be indifferent to what is going on around. But at the same time he is obsessed by the idea to make a film which will be his best one. Nikolai makes every effort to raise the money for this project. And all the time he is followed by a mysterious stranger. She is a beautiful young creature who speaks to him about the vanity of the world and the meaningless of a human life. Finally, Nikolai realizes that he is speaking to the Death herself.",0.639829,,,1998-03-23,0.0,114.0,,Released,,"Tsirk Sgorel, i Klouny Razbezhalis",3.5,2.0,"Nikolai Karachentsov, Zinaida Sharko, Nina Ruslanova",Vladimir Bortko,1998,0.0
,0,Thriller,92737,en,"A debt-ridden night club owner has to take on Italian and Asian mobsters, corrupt police, and an angry pimp that he threw out of the club to try to keep his club in business.",0.038051,,,1995-12-26,0.0,0.0,,Released,You can't outrun a bullet.,Under the Gun,7.0,1.0,"Richard Norton, Kathy Long, Jane Badler",Matthew George,1995,0.0
,7000000,"Action, Thriller",62040,en,An FBI Agent (Michael Rooker) and a female cop (Diane DiLascio) join forces to stop renegade cops who are offing the bad guys. Robert Patrick is the leader of the renegades and Louis Mandylor is a reluctant young cop that is brought into the hit team.,1.092346,Triple Peak Productions,United States of America,1998-12-14,0.0,90.0,English,Released,Renegade Justice!,CounterForce,6.8,4.0,"Michael Rooker, Robert Patrick, Louis Mandylor",Martin Kunert,1998,0.0
,0,Comedy,263873,fr,,1.187218,,"United States of America, Canada",1997-01-01,0.0,89.0,English,Released,,The Undertaker's Wedding,0.0,0.0,"Adrien Brody, Kari Wuhrer, Burt Young",John Bradshaw,1997,0.0
,0,Music,80386,en,"Four years after the death of Freddie Mercury 'Made In Heaven' the album was released. The visual conception was commissioned with the help of the B.F.I. and producers Hot Property. Eight films representative of Queen's music are accompanied by the tracklist: 'I Was Born To Love You', 'O', 'Return Trip', 'Closing Titles', 'Evolution', 'Mother Love', 'Heart-Ache' and 'Outside-In'",0.00122,,,1997-02-01,0.0,47.0,,Released,,Queen: Made in Heaven,0.0,0.0,"Jerome Blake, Andrew Boakes, Carmen Broughton",,1997,0.0
,0,"Drama, Romance",83614,ru,A love story of two people which turns out into triangle... So the steady family walls do not seem so steady anymore...,0.724248,Lenfilm,Russia,1993-02-01,0.0,101.0,Pусский,Released,,You Are My Only Love,4.5,4.0,"Aleksandr Zbruev, Marina Neyolova, Svetlana Ryabova",Dmitriy Astrakhan,1993,0.0
,0,"Mystery, Drama, Comedy",60199,en,"The lives of several people spanning from 1936 to 1993 are chronicled during their overnight stay at a New York City hotel room. The hotel room undergoes minor changes through the century, but the employees of the hotel remain unchanged, never ageing.",0.357286,"Propaganda Films, Asymmetrical Productions",United States of America,1993-04-01,0.0,90.0,English,Released,,Hotel Room,7.1,9.0,"Clark Heathcliffe Brolly, Camilla Overbye Roos, Harry Dean Stanton",David Lynch,1993,0.0
